Earthquake,Earthquake_Lat,Earthquake_Lon,Volcano,Volcano_Lat,Volcano_Lon,Distance_km
Q2889662,-28.65,-68.4,Cerro Volcán,-27.7945,-68.4348,94.87
Землетрясение в Греции (1928),38.0,23.0,Сусаки,37.9367981,23.08720016,10.39
1843 Wanganui earthquake,-39.93333333,175.05,Руапеху,-39.283333333,175.566666666,84.72
2008 Iceland earthquake,63.992,-21.014,Grímsnes,64.036666666,-20.889444444,7.87
1088 Tmogvi earthquake,41.23,44.0,Samsari Volcanic Center,41.542,43.7,42.78
The Seventh Earthquake,32.0,35.5,Рога Хаттина,32.799722222,35.459722222,88.77
2009 Shizuoka earthquake,34.778,138.276,Mount Sukumo,35.005,139.037222222,74.0
Землетрясение в Бельгии (1692),50.617222222,5.865833333,Q111209459,50.52603601,5.20320361,48.03
1941 Van-Erciş earthquake,39.5,43.3,Гиреколь-тепе,39.1,43.416666666,45.53
Землетрясение в Грузии (2009),42.662,43.414,Shadil-Khokh volcano,42.5425,44.2975,73.71
2001 El Salvador earthquake,13.04,-88.66,Cerro El Taburete,13.4367,-88.5317,46.04
Hilina Slump,19.2708,-155.164,Mauna Ulu,19.3668,-155.201,11.32
1982 North Yemen earthquake,14.7,44.38,Harras of Dhamar,14.55,44.40166667,16.76
Землетрясение в Колиме (2003),18.6,-104.22,Cerro Escalerilla,18.783611111,-103.705555555,57.95
1980 Azores Islands earthquake,38.81,-27.78,Q10392610,38.7514,-27.4493,29.46
Землетрясение в Коста-Рике,9.996,-85.318,Тенорио,10.672777777,-85.015,81.88
1957 Andreanof Islands earthquake,51.8333,-175.167,Koniuji,52.22,-175.13,43.1
Q2465597,-6.112,154.463,Tore,-5.835,154.935,60.58
Galilee earthquake of 1837,33.0,35.5,Рога Хаттина,32.799722222,35.459722222,22.53
Симуширское землетрясение,46.607,153.23,Подводный вулкан Рикорда,47.416666666,152.683333333,99.15
1905 Calabria earthquake,38.67,16.07,Стромболи,38.794166666,15.217777777,75.37
Землетрясение на Соломоновых островах (2010),-8.912,157.307,Coleman Seamount,-8.841,157.16,17.98
Рачинское землетрясение,42.453,43.673,Shadil-Khokh volcano,42.5425,44.2975,52.29
Карпатское землетрясение,45.753,26.932,Чумэтул-Маре,46.13,25.88,91.71
1917 Bali earthquake,-8.3,115.0,Братан,-8.283333333,115.133333333,14.8
1872 Lone Pine earthquake,36.61,-118.06,Golden Trout Creek,36.358,-118.32,36.4
1855 Ansei Edo earthquake,35.65,139.8,Хаконе,35.23,139.023888888,84.48
1647 Santiago earthquake,-33.4,-70.6,Сан-Хосе,-33.781666666,-69.897222222,77.77
1782 Mendoza earthquake,-33.0,-69.12,Тупунгатито,-33.423888888,-69.798055555,78.78
1894 Meiji Tokyo earthquake,35.7,139.8,Хаконе,35.23,139.023888888,87.65
1889 Kumamoto earthquake,32.8,130.7,Mount Kinbō,32.814055555,130.639111111,5.91
1902 Guatemala earthquake,14.8333,-91.5167,Q25182146,14.8,-91.516666666,3.68
1892 Laguna Salada earthquake,32.73,-115.5,Cerro Prieto,32.418,-115.308,39.02
1948 Fukui earthquake,36.171667,136.29,Mount Dainichi,36.1635,136.4925,18.24
1868 Ecuador earthquakes,0.31,-78.18,Куикоча,0.302222222,-78.361666666,20.24
Землетрясение в Камакуре (1293),35.2,139.4,Хаконе,35.23,139.023888888,34.41
1732 Montreal earthquake,45.5,-73.6,Q109039301,45.4325804,-73.7340379,12.89
Ленинаканское землетрясение,40.7,43.7,Артени,40.375844444,43.784880555,36.71
Землетрясение в Гватемале (1773),14.6,-90.7,Агуа,14.465,-90.742777777,15.63
1868 Hawaii earthquake,19.2,-155.5,Mauna Ulu,19.3668,-155.201,36.45
1653 East Izmir earthquake,38.2,28.2,Q6044027,38.620277777,28.430833333,50.82
1810 Crete earthquake,35.5,25.6,Q25161950,36.36,25.3889,97.31
1797 Riobamba earthquake,-1.6,-78.6,Volcán Tungurahua,-1.46667,-78.42444,24.47
Ереванское землетрясение 1679 г.,40.2,44.7,Гутанасар,40.36793,44.68386,18.7
2013 Nariño; Colombia earthquake,1.142,-77.4,Галерас,1.216666666,-77.366666666,9.05
1987 Ecuador earthquakes,0.09,-77.37,Сумако,-0.53805556,-77.62583333,75.06
Землетрясение в Индонезии (1982),-8.405,123.08,Riang Kotang,-8.3,122.892,23.74
Землетрясение на Филиппинах (1976),6.29,124.09,Parker Volcano,6.1144,124.8897,90.61
Землетрясение в Сирии (1956),33.776,35.575,Q4327234,33.2456167,35.7852139,61.98
Землетрясение в Японии (1974),34.63,138.78,Mount Ōmuro,34.904166666,139.094444444,41.88
1948 Desert Hot Springs earthquake,33.92,-116.47,Pipkin,34.68666667,-116.62,86.16
Землетрясения на Курилах,44.81,149.54,Кудрявый,45.38494,148.81647,85.59
1991 Kalabahi earthquakes,-8.099,124.681,Mount Sirung,-8.516666666,124.133333333,75.98
1983 Borah Peak earthquake,44.08,-113.8,Craters of the Moon,43.42,-113.5,77.21
1948 Salta earthquake,-24.9,-64.8,Morro de los Volcanes,-25.3833,-65.0408,58.79
1992 Landers earthquake,34.217,-116.433,Pipkin,34.68666667,-116.62,54.86
1931 Nicaragua earthquake,12.136,-86.251,Q21054839,12.233055555,-86.295277777,11.77
1942 Guatemala earthquake,13.78,-90.91,Текуамбурро,14.156111111,-90.406944444,68.45
1986 San Salvador earthquake,13.665830555,-89.190280555,Илопанго,13.66666667,-89.05,15.18
1943 Tottori earthquake,35.47,134.09,Mount Ōgi,35.439722222,134.440833333,32.03
1970 New Guinea earthquake,-4.93,145.47,Mount Uluman,-4.6528,145.9717,63.54
1983 Sea of Japan earthquake,40.462,139.102,Megata,39.95,139.733333,78.24
Землетрясение в Коста-Рике (1991),9.685,-83.073,Ирасу,9.979166666,-83.8525,91.49
1992 Big Bear earthquake,34.2,-116.827,Pipkin,34.68666667,-116.62,57.24
1932 Jalisco earthquake,19.5,-104.25,Cerro Grande,19.515,-103.953888888,31.13
