earthquakeLabel;location
Землетрясение на Унгава (1989);Point(-73.6 60.12)
1992 Landers earthquake;Point(-116.433 34.217)
1945 Mikawa earthquake;Point(137.1 34.7)
1989 Newcastle earthquake;Point(151.61 -32.95)
Землетрясение в Эквадоре (1958);Point(-79.489 1.011)
1984 Llŷn Peninsula earthquake;Point(-4.38 52.96)
1966 Xingtai earthquake;Point(114.483 37.0667)
1985 Wuqia earthquake;Point(75.224 39.413)
1946 Hsinhua earthquake;Point(120.3 23.1)
1931 Nicaragua earthquake;Point(-86.251 12.136)
1983 Kopaonik earthquake;Point(20.859 43.246)
1984 Dominican Republic earthquake;Point(-69.34 17.98)
1952 San Juan earthquake;Point(-67.5 -31.5)
1987 Santiago de Chuco earthquake;Point(-77.96 -8.25)
1965 Rat Islands earthquake;Point(178.55 51.29)
1969 Santa Rosa earthquakes;Point(-122.692 38.467)
1957 Abant earthquake;Point(30.9 40.7)
1942 Guatemala earthquake;Point(-90.91 13.78)
1951 Kurşunlu earthquake;Point(32.87 40.88)
1930 Salmas earthquake;Point(44.7 38.0)
1944 Cornwall-Massena earthquake;Point(-74.833 44.956)
1943 Alahan Panjang earthquakes;Point(100.736 -0.827)
1940 New Hampshire earthquake;Point(-71.28 43.83)
1930 Senigallia earthquake;Point(13.267 43.667)
1935 Sumatra earthquake;Point(98.25 0.0)
Землетрясение на Папуа-Новой Гвинее (1971);Point(153.85 -5.524)
1930 Dhubri earthquake;Point(90.2 25.8)
1986 San Salvador earthquake;Point(-89.190280555 13.665830555)
1943 Tottori earthquake;Point(134.09 35.47)
1959 Hengchun earthquake;Point(121.3 21.7)
Землетрясение в Чили (1953);Point(-72.866 -37.093)
1952 Tokachi earthquake;Point(144.15 41.700833333)
1970 Tonghai earthquake;Point(102.49 24.12)
1928 Talca earthquake;Point(-72.0 -35.0)
землетрясение на Лонгбич;Point(-118.0 33.63)
1970 New Guinea earthquake;Point(145.47 -4.93)
1988 Nepal earthquake;Point(86.6 26.8)
1975 Morris earthquake;Point(-96.1 45.5)
1983 Sea of Japan earthquake;Point(139.102 40.462)
1936 Miyagi earthquake;Point(142.1 38.2)
Землетрясение в Коста-Рике (1991);Point(-83.073 9.685)
Землетрясение в Китае (1948);Point(100.423 30.166)
1935 Timiskaming earthquake;Point(-79.0666 46.7833)
Землетрясение в Перу (1942);Point(-74.708 -14.819)
1965 Olympia earthquake;Point(-122.3 47.4)
1983 Biga earthquake;Point(27.222 40.324)
1992 Big Bear earthquake;Point(-116.827 34.2)
1976 Papua earthquake;Point(140.1 -4.52)
1975 Kinnaur earthquake;Point(78.43 32.46)
1931 Oaxaca earthquake;Point(-96.8 16.1)
1932 Jalisco earthquake;Point(-104.25 19.5)
1980 Oaxaca earthquake;Point(-98.24 18.21)
1988 Saguenay earthquake;Point(-71.18 48.12)
1984 Northern Sumatra earthquake;Point(98.03 0.2)
1977 San Juan earthquake;Point(-68.5261 -31.5342)
1961 New South Wales earthquake;Point(150.004 -34.6)
1981 Dawu earthquake;Point(101.1 30.93)
1992 Flores earthquake;Point(121.896 -8.48)
1984 Morgan Hill earthquake;Point(-121.7 37.32)
1985 Nahanni earthquakes;Point(-125.292 61.505)
1936 Cansiglio earthquake;Point(12.417 46.033)
1940 El Centro earthquake;Point(-115.5 32.7333)
1949 Olympia earthquake;Point(-122.7 47.1)
Землетрясение в Сальвадоре (1982);Point(-89.387 13.332)
1986 Chalfant Valley earthquake;Point(-118.45 37.53)
2016 Peru earthquake;Point(-72.009 -15.654)
1923 Kamchatka earthquake;Point(160.472 54.486)
Землетрясение в Венгрии (1956);Point(19.282 47.443)
Землетрясение в Мьянме (1975);Point(94.7 21.485)
Землетрясение на Суматре (2016);Point(94.275 -4.908)
"2011 Leeds; Alabama earthquake";Point(-86.554 33.56)
2011 northern Nagano earthquake;Point(138.597 36.985)
Землетрясения в префектуре Кумамото (2016);Point(130.635 32.849)
Q21481024;Point(128.7 30.9)
Q28414047;Point(121.34 22.63)
Землетрясение в Китае (2016);Point(101.641 37.671)
2016 Northeast India earthquake;Point(93.6 24.8)
Землетрясение в Иране (август 2010);Point(54.51 35.53)
1639 Amatrice earthquake;Point(13.261 42.639)
2015 Aspen earthquake;Point(-106.764 39.225)
December 2015 Hindu Kush earthquake;Point(71.138 36.486)
Землетрясение в Афганистане (2016);Point(71.131 36.473)
October 2016 Central Italy earthquakes;Point(13.088 42.855)
2016 Oklahoma earthquake;Point(-96.932 36.43)
2016 Chauk earthquake;Point(94.578888888 20.918888888)
Землетрясение в Танзании (2016);Point(31.568 -1.029)
Землетрясение в Непале (1505);Point(83.0 29.5)
Terremoto de Guatemala de 1874;Point(-90.925813 14.634413)
2016 Old Iliamna earthquake;Point(-153.34 59.605)
Землетрясение в Италии (1962);Point(15.009 41.175)
2016 Strait of Gibraltar earthquake;Point(-3.8138 35.6268)
Землетрясение в Швеции (2015);Point(20.658 67.13)
2013 Plescop earthquake;Point(-2.827 47.693)
2016 Te Araroa earthquake;Point(179.52 -36.98)
Землетрясение на Сицилии (1975);Point(15.633 38.169)
1990 Upland earthquake;Point(-117.73 34.16)
Землетрясение в Чили (2015);Point(-71.452 -30.88)
2016 Strait of Gibraltar earthquake;Point(-3.8509 35.5888)
1913 Guatemala Earthquake;Point(-90.3 14.28)
землетрясение в горах Гиндукуш в 2015 году;Point(70.717 36.441)
1907 Calabria earthquake;Point(16.017 38.133)
2015 Tajikistan earthquake;Point(72.767 38.258)
Землетрясение в Алжире (1856);Point(5.7 37.1)
1816 Guatemala earthquake;Point(-91.5 15.5)
1932 Eureka earthquake;Point(-124.21 40.73)
2014 Northern Nagano earthquake;Point(137.88783333 36.689)
Землетрясение в Иране (1981);Point(57.794 30.013)
Землетрясение в Эквадоре;Point(-79.94 0.371)
землетрясение в Индонезии 7 декабря 2016 года;Point(96.168 5.283)
Землетрясение на острове Ле-Сент (2004);Point(-61.7 16.68)
2015 East Providence earthquake;Point(-71.38 41.818)
Землетрясение в Аргентине (2015);Point(-64.484 -25.467)
Землетрясение в США (1980);Point(-124.44 41.13)
2016 Strait of Gibraltar earthquake;Point(-3.702 35.696)
Землетрясение в Греции (1894);Point(23.08 38.65)
Землетрясение в Италии в 2016 году;Point(13.24 42.71)
1898 Rieti earthquake;Point(12.905 42.415)
Землетрясение в префектуре Фукусима;Point(141.403 37.392)
Землетрясение в Италии (1950);Point(13.318 42.55)
землетрясение в Гаосюн в 2016 году;Point(120.54 22.93)
Землетрясение в Малайзии (1976);Point(118.308 4.956)
1856 Heraklion earthquake;Point(26.0 35.5)
Землетрясение в США (2016);Point(-118.896 38.378)
Q23927237;Point(13.63 46.32)
Ахалкалакское землетрясение;Point(-43.5 41.6)
2016 Myanmar earthquake;Point(94.9 23.133)
Землетрясение на Гуаме (1993);Point(144.75 13.0)
2015 Pakistan earthquake;Point(73.225 33.884)
Землетрясение в Новой Зеландии (1904);Point(176.65 -40.4)
2017 Papua New Guinea earthquake;Point(155.172 -6.246)
Землетрясение в США (1838);Point(-122.15 37.3)
2016 Gyeongju earthquake;Point(129.227 35.769)
землетрясение в Италии 2017 года;Point(13.28 42.53)
Q25535507;Point(20.6 38.67)
землетрясение в чилийском Ильяпеле в 2015 году;Point(-71.741 -31.637)
2016 Southern Chile earthquake;Point(-73.88 -43.416)
1918 San Jacinto earthquake;Point(-117.0 33.7)
Землетрясение на Соломоновых Островах (2016);Point(161.327 -10.681)
Землетрясения на Филиппинах (1897);Point(122.0 6.0)
Землетрясение в Крайстчерче (2016);Point(172.83 -43.5)
Землетрясение в Южной Корее (2016);Point(129.899 35.536)
February 2001 El Salvador earthquake;Point(-88.93 13.67)
Землетрясение в Португалии (1841);Point(-25.3 38.4)
2015 Lower Navarre earthquake;Point(-1.236666666 43.163888888)
Землетрясение в Анатолии (262);Point(27.8 36.5)
Землетрясение в Китае (1303);Point(111.7 36.3)
2017 Tripura earthquake;Point(92.018 24.015)
2015 South Kivu earthquake;Point(28.897 -2.141)
Землетрясение в Танзании (2016);Point(31.618 -1.036)
Землетрясение на Аляске (1975);Point(173.5 53.11)
землетрясения в Северном Кентербери в 2016 году;Point(173.02 -42.69)
1941 Gloria Fault earthquake;Point(-18.953 37.446)
Землетрясение в Японии (2011);Point(144.59 38.058)
Землетрясение в Гватемале (2010);Point(-91.26 15.967)
Землетрясение в Пуэрто-Рико (2010);Point(-67.07 18.4)
Q56216369;Point(144.0 37.5)
Peru earthquake of 24 August 2018;Point(-70.817 -11.042)
Землетрясение в Чили (2010);Point(-73.36 -36.61)
"Землетрясение к югу от Камарильо; Калифорния (2010)";Point(-119.04 34.084)
Землетрясение в Беринговом море (2010);Point(-177.65 60.478)
"Землетрясение к северу от Баннинга; Калифорния (2010)";Point(-116.876 33.966)
19 August 2018 Lombok earthquake;Point(116.626 -8.324)
2018 Haiti earthquake;Point(-72.975 20.041)
Землетрясение в Оклахоме (2010);Point(-96.752 35.553)
Землетрясение к юго-востоку от Тайваня (2010);Point(123.623 22.18)
Землетрясение в Вануату (2010);Point(167.227 -13.571)
Землетрясение в Беринговом море (2010);Point(-177.877 60.473)
"Землетрясение в Тарапака; Чили (2010)";Point(-70.547 -18.058)
2018 Hokkaido Eastern Iburi earthquake;Point(142.006666666 42.69)
"Землетрясение к востоку от Примо Тапия; Мексика (2010)";Point(-116.591 32.242)
Землетрясение в Новой Каледонии (2018);Point(170.05 -22.066)
July 2018 Lombok earthquake;Point(116.491 -8.274)
Землетрясение в Коста-Рике (2010);Point(-84.302 9.247)
"Землетрясение в Вальпараисо; Чили (2010)";Point(-71.868 -33.412)
Землетрясение в Пичилему (2010);Point(-71.891 -34.29)
Q55731090;Point(127.9 36.6)
2018 East Java earthquake;Point(114.47 -7.42)
2018 Hokkaido Eastern Iburi earthquake;Point(141.933 42.671)
Q60022429;Point(-16.066697222 28.25)
"Землетрясение в Столичной области; Чили (2010)";Point(-71.025 -33.387)
"Землетрясение к северо-востоку от Пико Ривера; Калифорния (2010)";Point(-118.082 33.992)
Землетрясение в Юте (2010);Point(-111.09 41.703)
"Землетрясение в Атакаме; Чили (2010)";Point(-70.821 -27.953)
Землетрясение в Милпитас (2010);Point(-121.799 37.481)
2018 Fiji earthquake;Point(179.35 -18.474)
"Землетрясение к западу-северо-западу от Альберто Овьедо Мота; Мексика (2010)";Point(-115.293 32.266)
"Землетрясение на островах Барат-Дая; Индонезия (2010)";Point(128.723 -7.217)
2018 Iran–Iraq earthquake;Point(46.2774 34.663)
"Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010)";Point(-115.809 32.664)
"Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010)";Point(-115.806 32.647)
Землетрясение на южной Аляске (2010);Point(-149.652 61.58)
"Землетрясение к юго-западу от Росарито; Мексика (2010)";Point(-117.526 32.049)
Землетрясение в Пичилему (2010);Point(-71.877 -34.228)
"Землетрясение к юго-юго-западу от Эстасьон Коауила; Мексика (2010)";Point(-115.048 32.099)
Землетрясение к югу от Восточно-Тихоокеанского поднятия (2010);Point(-115.296 -16.236)
Землетрясение на Соломоновых островах (2010);Point(157.487 -8.726)
Землетрясение на Андаманских островах (2010);Point(92.831 13.667)
"Землетрясение к югу от Редлендс; Калифорния (2010)";Point(-117.18 34.005)
2018 Анкориджское землетрясение;Point(-149.937 61.34)
"Землетрясение к юго-западу от Альберто Овьедо Мота; Мексика (2010)";Point(-115.268 32.165)
Землетрясение в Оклахоме (2010);Point(-97.25 35.576)
Землетрясение в Чили (2010);Point(-72.878 -36.227)
Землетрясение в Индонезии унесло жизни более 90 человек;Point(116.452 -8.287)
Kermanshah 2018 earthquake;Point(45.74 34.304)
"Землетрясение на Новой Ирландии; Папуа-Новая Гвинея (2010)";Point(152.245 -3.361)
Alaska earthquake of 12 August 2018;Point(-145.247 69.624)
Землетрясение на Соломоновых островах (2010);Point(157.551 -9.019)
Землетрясение и цунами на Сулавеси;Point(119.85 -0.18)
1555 Üsküb earthquake;Point(21.4 41.95)
Землетрясение в Вануату (2010);Point(167.947 -19.702)
Землетрясение к югу от Фиджи (2010);Point(-179.802 -23.407)
Землетрясение в проливе Дрейка (2010);Point(-65.879 -57.664)
August 2018 Fiji earthquake;Point(-178.111 -18.178)
Землетрясение в Приморском крае (2010);Point(130.703 42.587)
"Землетрясение на Миндоро; Филиппины (2010)";Point(120.071 13.827)
Q59488615;Point(124.148 39.887)
1555 Scupi earthquake;Point(21.391944444 42.016666666)
Землетрясение в Греции (2018);Point(20.557 37.52)
"Землетрясение к западу-северо-западу от Прогресо; Мексика (2010)";Point(-115.756 32.617)
2018 Venezuela earthquake;Point(-62.911 10.739)
2017 Komandorski Islands earthquake;Point(168.857 54.443)
"Землетрясение к западу-северо-западу от Прогресо; Мексика (2010)";Point(-115.758 32.675)
Q59488615;Point(124.075 38.831666666)
Землетрясение в Вануату (2010);Point(168.14 -19.661)
"Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010)";Point(-115.797 32.682)
"Землетрясение в Вальпараисо; Чили (2010)";Point(-71.828 -33.422)
Землетрясение в Чили (2010);Point(-73.257 -36.217)
2018 Molise earthquake;Point(14.83333333 41.9)
"Землетрясение к западу от Бомонта; Калифорния (2010)";Point(-117.023 33.932)
Землетрясение на Фиджи (2018);Point(-178.153 -18.113)
"Землетрясение к юго-западу от Дельта; Мексика (2010)";Point(-115.26 32.3)
"Землетрясение к западу от Прогресо; Мексика (2010)";Point(-115.774 32.594)
Землетрясение в Чили (2010);Point(-73.374 -36.665)
2018 Taumarunui earthquake;Point(-175.01 -39.03)
"Землетрясение к западу-юго-западу от Ферндейла; Калифорния (2010)";Point(-124.961 40.412)
Землетрясение в Чили (2010);Point(-72.969 -37.529)
"Землетрясение в Антофагаста; Чили (2010)";Point(-68.328 -22.227)
Землетрясение в Сальвадоре (2010);Point(-90.132 13.728)
Землетрясение в Чили (2010);Point(-73.454 -38.072)
Землетрясение в Чили (2010);Point(-75.048 -37.773)
Alaska earthquake of 15 August 2018;Point(178.0 51.0)
"Землетрясение в Мауле; Чили (2010)";Point(-71.617 -34.903)
"Землетрясение в Южной Суматре; Индонезия (2010)";Point(101.096 -4.054)
Землетрясение в северном Перу (2010);Point(-77.541 -5.083)
"Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010)";Point(-115.825 32.66)
"Землетрясение в Вальпараисо; Чили (2010)";Point(-72.125 -33.216)
Землетрясение к востоку от Южных Сандвичевых островов (2010);Point(-14.695 -58.173)
Землетрясение на Каймановых островах (2010);Point(-80.804 19.004)
Землетрясение к юго-западу от островов Рюкю (2010);Point(123.615 23.488)
Землетрясение в Португалии (1356);Point(-10.0 36.5)
"Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010)";Point(-115.808 32.66)
2004 Baladeh earthquake;Point(51.6 36.34)
2018 Papua New Guinea earthquake;Point(142.766 -6.149)
землетрясение в Эгейском море в июле 2017 года;Point(27.458 36.949)
землетрясение на границе Ирана и Ирака в 2017 году;Point(45.956 34.905)
Землетрясение в Италии (1298);Point(12.906 42.574)
2017 Valparaiso earthquake;Point(-72.062 -33.038)
2018 Oaxaca earthquake;Point(-97.653 16.646)
1732 Irpinia earthquake;Point(15.15 41.08)
1646 Gargano earthquake;Point(15.938 41.874)
2017 Ischia earthquake;Point(13.9 40.74)
2017 Uttarakhand earthquake;Point(79.165 30.654)
Землетрясение в Италии (1517);Point(15.21 41.012)
Землетрясение в Индии (1869);Point(93.0 25.5)
Землетрясение в Румынии (2014);Point(27.151 45.898)
2017 Pohang earthquake;Point(129.36 36.12)
Землетрясение в Пуэбле;Point(-98.399 18.584)
Q28670489;Point(15.022 38.125)
1936 State Line earthquake;Point(-118.496 45.992)
1361 Apulia earthquake;Point(15.567 41.2)
Землетрясение в Гватемале (2017);Point(-92.009 14.909)
1604 Quanzhou earthquake;Point(117.24 23.54)
Землетрясение в Иране (2017);Point(57.307 30.746)
Землетрясение в Италии (1561);Point(15.492 40.514)
Землетрясение в Италии (1466);Point(15.334 40.766)
1624 Argenta earthquake;Point(11.85 44.65)
Землетрясение в Китае (1679);Point(116.98333333 40.0)
2017 Lesbos earthquake;Point(26.365 38.93)
2018 Peru earthquake;Point(-74.744 -15.776)
Землетрясение в заливе Аляска;Point(-149.073 56.046)
2017 earthquake in Silesia;Point(18.22 49.91)
Землетрясение в Иране (1981);Point(57.715 29.913)
"earthquake in Fukushima; Japan in 6 October 2017; 23:56";Point(141.197 37.1)
2016 Uchiura Bay earthquake;Point(140.986667 41.948333)
earthquake in Calabria in 1947;Point(16.518 38.653)
Землетрясение в Антигуа и Барбуда (1974);Point(-62.0 17.3)
2018 Swan Islands earthquake;Point(-83.52 17.469)
1977 Tonga earthquake;Point(-175.71 -22.89)
2017 Botswana earthquake;Point(25.147 -22.658)
2017 Jinghe earthquake;Point(82.89 44.27)
1817 Arnedo and Prejano earthquake;Point(-2.1715 42.2002)
землетрясение в Хуалянь в 2018 году;Point(121.653 24.174)
землетрясение в Цзючжайгоу 2017 года;Point(103.82 33.2)
Q43283075;Point(95.02 29.75)
2017 Orikain earthquake;Point(-1.6136 42.8529)
Землетрясение в Панаме (1934);Point(-82.492 7.903)
1936 Kawachi–Yamato earthquake;Point(135.685 34.5175)
Q50869542;Point(22.86 41.22)
1963 Marj earthquake;Point(21.0 32.66)
2016 Central Tottori earthquake;Point(133.86 35.38)
2017 Surigao earthquake;Point(125.35 9.8)
Q42264939;Point(101.6 -3.794)
Q30889022;Point(13.454 42.967)
1973 Point Mugu earthquake;Point(-119.03 34.04)
Землетрясение в Гваделупе (1843);Point(-62.2 16.5)
Землетрясение в Иране (1780);Point(46.0 38.2)
Q51627589;Point(-2.9367 36.78)
Землетрясение в Италии (1702);Point(14.989 41.121)
1046 Middle Adige Earthquake;Point(11.067 45.83333)
"May 4; 2018 Azores Islands Region earthquake";Point(-33.821 36.339)
Землетрясение на Гавайях;Point(-155.032 19.37)
Землетрясение в Японии (1997);Point(131.665 34.44)
Землетрясения в Тбилиси (2002);Point(44.86 41.77)
1968 Meckering earthquake;Point(117.07 -31.57)
Землетрясение в Сирии (1170);Point(36.5 35.1)
Землетрясение в Греции (1886);Point(21.5 37.1)
1893 Gargano earthquake;Point(16.075 41.714)
Q28706488;Point(37.519341 47.350454)
землетрясение в Осаке в 2018 году;Point(135.606 34.834)
Землетрясение в Италии (1853);Point(15.215 40.818)
Q47144124;Point(6.751 53.363)
Землетрясение в Китае (1833);Point(103.0 25.4)
Землетрясение на Филиппинах (2017);Point(125.066 5.504)
Землетрясение в Чили (2017);Point(-71.803 -39.385)
землетрясение в Мексике в сентябре 2017 года;Point(-94.027 14.899)
Q54982580;Point(11.465025 43.933183333)
2017 Costa Rica earthquake;Point(-84.505 9.526)
1883 Çeşme earthquake;Point(26.4 38.3)
1898 Mare Island earthquake;Point(-122.4 38.2)
2017 Leyte earthquake;Point(124.69 11.11)
Q41456882;Point(-115.07987 32.55073)
2018 Pohang earthquake;Point(129.307 36.088)
"May 4; 2018 Neuenburg am Rhein earthquake";Point(7.552 47.779)
2018 Java earthquake;Point(105.963 -7.092)
Землетрясение в центральной Калифорнии (2010);Point(-121.641 36.909)
"Землетрясение к северо-северо-западу от Боррего Спрингс; Калифорния (2010)";Point(-116.416 33.383)
"Землетрясение в заливе Моро; Филиппины (2010)";Point(123.259 6.776)
Землетрясение в Вануату (2010);Point(168.069 -17.541)
"Землетрясение на островах Бонин; Япония (2010)";Point(143.595 26.81)
"Землетрясение на островах Ментавай; Индонезия (2010)";Point(100.372 -2.958)
Землетрясение у южного побережья Австралии (2010);Point(138.84 -35.15)
"Землетрясение в провинции Юньнань; Китай (2010)";Point(99.866 26.29)
Землетрясение на Австрало-Антарктическом поднятии (2010);Point(96.394 -45.464)
2018 Yibin earthquake;Point(104.95 28.24)
"Землетрясение в Чунцине; Китай (2010)";Point(105.625 29.344)
Землетрясение в Калифорнийском заливе (2010);Point(-109.156 24.696)
"Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010)";Point(150.765 -5.746)
Землетрясение на южной Аляске (2010);Point(-150.505 61.805)
"Землетрясение к западу от Эрмоса Бич; Калифорния (2010)";Point(-118.444 33.859)
"Землетрясение в Оахака; Мексика (2010)";Point(-96.861 15.893)
Землетрясение в северной части Срединно-Атлантического хребта (2010);Point(-35.924 35.336)
Землетрясение в Чили (2010);Point(-73.412 -37.034)
Землетрясение на Гаити (2010);Point(-72.823 18.423)
"Землетрясение у восточного побережья Хонсю; Япония (2010)";Point(141.299 37.594)
"Землетрясение в Антофагаста; Чили (2010)";Point(-68.216 -22.146)
1899 Yakutat Bay earthquakes;Point(-140.0 60.0)
"Землетрясение на Гиндукуше; Афганистан (2010)";Point(70.074 35.94)
Землетрясение в центральной Аляске (2010);Point(-149.512 62.854)
"Землетрясение в Гуйчжоу; Китай (2010)";Point(105.804 25.558)
Землетрясение в Вануату (2010);Point(166.643 -13.698)
Землетрясение на Андаманских островах (2010);Point(93.471 11.132)
Землетрясение на Андреяновских островах (2010);Point(-175.361 51.374)
"Землетрясение к юго-востоку от островов Рюкю; Япония (2010)";Point(129.944 25.773)
Землетрясение к югу от Фиджи (2010);Point(179.116 -23.307)
"Землетрясение на Мауи; Гавайи (2010)";Point(-156.469 20.324)
Землетрясение на Камчатке (2010);Point(159.843 52.498)
"Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010)";Point(150.428 -5.966)
"Землетрясение на Яве; Индонезия (2010)";Point(107.879 -7.907)
"Землетрясение к северо-северо-западу от Боррего Спрингс; Калифорния (2010)";Point(-116.475 33.417)
Землетрясение на Марианских островах (2010);Point(141.514 12.234)
"Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010)";Point(149.977 -6.001)
Землетрясение в Вануату (2010);Point(166.485 -13.643)
"Землетрясение в восточной части Новой Гвинеи; Папуа-Новая Гвинея (2010)";Point(146.822 -5.486)
Землетрясение на Фиджи (2010);Point(-179.306 -15.879)
"Землетрясение к северо-западу от Джермантауна; Мэриленд (2010)";Point(-77.41 39.261)
Землетрясение на Соломоновых островах (2010);Point(161.447 -10.627)
1982 Ometepec earthquake;Point(-98.25 16.51)
Землетрясение в Оклахоме (2010);Point(-97.32 35.192)
"Землетрясение в провинции Шаньси; Китай (2010)";Point(112.644 38.212)
Землетрясение к югу от Марианских островов (2010);Point(145.999 11.143)
"Землетрясение у северного побережья провинции Папуа; Индонезия (2010)";Point(136.484 -2.329)
"Землетрясение к юго-западу от Манхэттен Бич; Калифорния (2010)";Point(-118.458 33.857)
"Землетрясение в провинции Хэбэй; Китай (2010)";Point(118.474 39.692)
Землетрясение на Ближних островах (2010);Point(171.161 53.127)
Землетрясение в Вайоминге (2010);Point(-110.391 43.596)
"Землетрясение к востоку-юго-востоку от Окотильо; Калифорния (2010)";Point(-115.911 32.705)
"Землетрясение в Юньнань; Китай (2010)";Point(99.304 24.917)
"Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010)";Point(148.342 -5.692)
Землетрясение на Андреяновских островах (2010);Point(-178.649 51.423)
1976 Longling earthquake;Point(98.96 24.49)
"Землетрясение на островах Бонин; Япония (2010)";Point(139.187 28.349)
Землетрясение в Чили (2010);Point(-73.31 -38.067)
Землетрясение на Андреяновских островах (2010);Point(-175.87 51.451)
"Землетрясение в заливе Моро; Филиппины (2010)";Point(123.409 6.718)
Землетрясение в Молуккском море (2010);Point(126.213 1.239)
"Землетрясение к западу-юго-западу от Росарито; Мексика (2010)";Point(-117.604 32.204)
Землетрясение в западном Иране (2010);Point(48.3 32.45)
Землетрясение на Южно-Тихоокеанском поднятии (2010);Point(-142.292 -56.586)
"Землетрясение на северной Суматре; Индонезия (2010)";Point(96.832 4.64)
"Землетрясение на западном побережье Хонсю; Япония (2010)";Point(138.961 37.547)
"Землетрясение у южного побережья провинции Папуа; Индонезия (2010)";Point(133.76 -4.963)
"Землетрясение у восточного побережья Хонсю; Япония (2010)";Point(141.625 37.372)
Землетрясение в Афганистане (сентябрь 2010);Point(70.774 36.443)
"Землетрясение к югу от Альберто Овьедо Мота; Мексика (2010)";Point(-115.198 32.048)
Землетрясение на Гаити (2010);Point(-72.784 18.387)
Землетрясение на Марианских островах (2010);Point(141.474 12.487)
Землетрясение на Лисьих островах (2010);Point(-169.848 52.876)
"Землетрясение в заливе Моро; Филиппины (2010)";Point(123.222 6.548)
"Землетрясение в Химачал-Прадеш; Индия (2010)";Point(76.105 31.677)
"Землетрясение в провинции Юньнань; Китай (2010)";Point(101.903 25.523)
Землетрясение на Маврикии (2010);Point(65.647 -17.759)
"Землетрясение на Новой Британии; Папуа-Новая Гвинея (2010)";Point(150.712 -5.902)
2018 Southern Appalachian earthquake;Point(-84.74 35.614)
"Землетрясение на востоке провинции Сычуань; Китай (2010)";Point(105.668 30.268)
Землетрясение на Южных Сандвичевых островах (2010);Point(-25.741 -56.412)
Землетрясение в Вануату (2010);Point(169.818 -20.671)
Землетрясение на Марианских островах (2010);Point(141.429 12.273)
Землетрясение в Коста-Рике (2010);Point(-84.293 10.211)
"Землетрясение у восточного побережья Хонсю; Япония (2010)";Point(142.369 39.697)
Землетрясение в Коста-Рике (2010);Point(-84.206 9.331)
Землетрясение у восточного побережья США (2010);Point(-71.571 39.955)
"Землетрясение около Вальпараисо; Чили (2010)";Point(-72.494 -33.771)
Землетрясение в штате Вашингтон (2010);Point(-122.432 46.556)
Q60830232;Point(-71.382 -30.04)
Землетрясение в Таджикистане (2010);Point(71.467 38.245)
Землетрясение к юго-западу от островов Рюкю (2010);Point(125.154 24.27)
Землетрясение в центральном Перу (2010);Point(-74.352 -13.928)
Землетрясение на южной Аляске (2010);Point(-150.219 61.115)
"Землетрясение в заливе Моро; Филиппины (2010)";Point(123.519 6.218)
Землетрясение в западном Иране (2010);Point(48.284 32.456)
Землетрясение на Никобарских островах (2010);Point(91.936 7.881)
"Землетрясение на границе Внутренней Монголии и провинции Шаньси; Китай (2010)";Point(113.933 40.024)
Землетрясение в Пуэрто-Рико (2010);Point(-66.135 18.26)
Землетрясение в Нью-Гэмпшире (2010);Point(-71.59 43.323)
2007 Martinique earthquake;Point(-61.244 14.943)
Землетрясение в Панаме (2002);Point(-82.75 7.91)
Землетрясение в Индонезии (1994);Point(104.302 -4.967)
2000 Kipawa earthquake;Point(-78.92 46.84)
2000 Iceland earthquakes;Point(-20.7099 63.9777)
Землетрясение в Мексике (2012);Point(-102.1833333 17.95)
2003 Dominican Republic earthquake;Point(-69.34 17.98)
August 2009 Sumatra earthquake;Point(99.473 -1.397)
2007 Tocopilla earthquake;Point(-69.843 -22.189)
1998 Acatlan;Point(-97.44 18.39)
"Землетрясение в заливе Моро; Филиппины (2010)";Point(123.533 6.494)
1998 Ryukyu Islands earthquake;Point(125.3 22.3)
1996 Baotou earthquake;Point(109.661 40.774)
Землетрясение в Тонга (2007);Point(-175.2 -21.133)
Землетрясение в Италии (2008);Point(10.333 44.8)
1996 Chimbote earthquake;Point(-79.587 -9.593)
Шикотанское землетрясение;Point(147.17 43.85)
2007 Andreanof Islands earthquake;Point(-179.47 51.34)
Землетрясение в Колиме (1995);Point(-104.21 19.06)
2000 New Ireland earthquakes;Point(152.169 -3.98)
2007 Guatemala earthquake;Point(-90.6 13.533333333)
Землетрясение на Каймановых островах (2004);Point(-81.409 18.958)
1998 Mionica earthquake;Point(20.08 44.209)
2003 Puerto Armuelles earthquake;Point(-82.824 8.416)
2000 Turkmenistan earthquake;Point(54.82 39.48)
2003 Hokkaidō earthquake;Point(143.86 41.78)
1996 Biak earthquake;Point(136.94 -0.95)
Землетрясение в Мексике (1995);Point(-93.469 16.84)
2002 Bou'in-Zahra earthquake;Point(49.047 35.626)
2008 Lincolnshire earthquake;Point(-0.331 53.404)
