earthquakeLabel;location
Мессинское землетрясение;Point(15.683 38.15)
1980 Irpinia earthquake;Point(15.366 40.914)
Землетрясение в Авеццано;Point(13.527222222 41.996555555)
2007 Gisborne earthquake;Point(178.49 -38.88)
Землетрясение Массауа 1921 года;Point(39.4453 15.6092)
Землетрясение в Долине Сан-Фернандо 1994;Point(-118.535 34.207)
1858 Hietsu earthquake;Point(137.2 36.4)
2011 Java earthquake;Point(107.749 -9.786)
Землетрясение в Уаирарапа;Point(174.5 -41.4)
1888 North Canterbury earthquake;Point(172.4 -42.6)
1580 Dover Straits earthquake;Point(2.33 50.5)
Землетрясение в Белуджистане;Point(66.8 29.5)
Землетрясение в Казвине;Point(49.87 35.63)
2012 Pernik earthquake;Point(23.009 42.686)
2007 Noto earthquake;Point(136.5 37.3)
Землетрясение в Юрике (2010);Point(-124.763 40.645)
Крымские землетрясения 1927 года;Point(35.0 45.0)
"Землетрясение у северного побережья провинции Папуа; Индонезия (2010)";Point(136.46 -2.141)
Землетрясение в Тонга;Point(-174.668 -23.05)
1783 Calabrian earthquakes;Point(15.97 38.3)
Землетрясение Лома-Приета;Point(-121.877 37.04)
1968 Belice earthquake;Point(12.998 37.919)
1970 Gediz earthquake;Point(29.5 39.2)
557 Constantinople earthquake;Point(28.95 41.03)
1303 Crete earthquake;Point(27.0 35.0)
Землетрясение в префектуре Мияги;Point(141.64 38.253)
1987 Edgecumbe earthquake;Point(176.84 -37.88)
"Землетрясение в восточной части Новой Гвинеи; Папуа-Новая Гвинея (2010)";Point(147.306944444 6.683055555)
1953 Ionian Earthquake;Point(20.6 38.02)
1952 Kern County earthquake;Point(-119.01 35.0)
1834 Concepción earthquake;Point(-73.0 -36.8)
1756 Düren earthquake;Point(6.47 50.8)
July 2006 Java earthquake;Point(107.347 -9.295)
2002 Hindu Kush earthquakes;Point(70.48 36.5)
1786 Kangding-Luding earthquake;Point(102.0 29.9)
Табасское землетрясение;Point(57.4 33.2)
Q1348799;Point(0.3 6.5)
1932 Ierissos earthquake;Point(23.9 40.5)
Землетрясение в Баме;Point(58.55 29.0)
Q2274819;Point(5.515 50.628055555)
Землетрясение у Алеутских островов;Point(-163.5 52.8)
1957 Guerrero earthquake;Point(-99.8825 16.86638889)
Родосское землетрясение;Point(28.21 36.43)
1931 Dogger Bank earthquake;Point(1.84973 54.14656)
Землетрясение в Греции (365);Point(23.0 35.0)
"Землетрясение у восточного побережья Хонсю; Япония (2010)";Point(141.59 37.745)
1575 Valdivia earthquake;Point(-73.2 -39.8)
Землетрясение в Гватемале;Point(-89.1 15.32)
2008 Lake Kivu earthquake;Point(28.896 -2.314)
1703 Apennine earthquakes;Point(13.07 42.7)
March 2007 Sumatra earthquakes;Point(100.49847 -0.53626)
September 2007 Sumatra earthquakes;Point(101.374 -4.52)
Землетрясение в Мексике (2012);Point(-98.188 16.662)
Землетрясение в Мехико;Point(-102.53 18.19)
Землетрясение в Ганьсу;Point(105.7 36.5)
"Землетрясение к юго-западу от Дельта; Мексика (2010)";Point(-115.303 32.128)
2008 Damxung earthquake;Point(90.35 29.807)
1867 Cephalonia (Greece) earthquake;Point(20.2 38.4)
"Землетрясение на островах Ментавай; Индонезия (2010)";Point(100.084 -3.464)
Землетрясение в Фьордленде;Point(166.643 -45.721)
2011 Pakistan earthquake;Point(63.947 28.838)
2007 Mariana Islands earthquake;Point(145.315 18.854)
1980 Irpinia earthquake;Point(15.164 40.51)
1844 Salta earthquake;Point(-64.7 -24.8)
2002 Molise earthquake;Point(14.89 41.73)
Землетрясение в Перу (1974);Point(-77.795 -12.265)
1932 Uden Earthquake;Point(5.468056 51.613056)
1886 Charleston earthquake;Point(-80.0 32.9)
Землетрясение в Турции;Point(43.486 38.628)
Ассамское землетрясение (1897);Point(91.0 26.0)
1906 Meishan earthquake;Point(120.45 23.55)
1967 Mudurnu earthquake;Point(30.81 40.72)
Землетрясение в Индии (1999);Point(79.286 30.286)
1929 Arthur's Pass earthquake;Point(171.928 -42.791)
Землетрясение на Суматре;Point(99.856 -0.725)
Землетрясение в Мурсии;Point(-1.556 37.697)
1992 Roermond earthquake;Point(5.93694444 51.14805556)
Землетрясение в Индии (1999);Point(79.4158 30.4078)
Землетрясение в Кютахья;Point(29.074 39.137)
Землетрясение в Сан-Франциско;Point(-122.55 37.75)
2008 Iwate-Miyagi Nairiku earthquake;Point(140.88 39.028333333)
Землетрясение в Алеппо;Point(37.1667 36.2167)
Землетрясение в Гватемале;Point(-91.965 13.987)
Землетрясение в Мьянме (2012);Point(95.883 23.014)
1978 Thessaloniki earthquake;Point(23.048888888 40.638888888)
Землетрясение в Сиккиме;Point(88.064 27.723)
2012 Zohan earthquake;Point(59.554 33.49)
1953 Yenice-Gönen earthquake;Point(27.53 40.02)
Землетрясение в Китае;Point(96.629 33.271)
Землетрясение в Дэхун-Дай-Качинском автономном округе;Point(97.994 24.71)
2009 Hualien earthquake;Point(121.689 23.763)
Афинское землетрясение;Point(23.6 38.11)
2008 Peloponnese earthquake;Point(21.464 38.029)
Землетрясение на Гаити;Point(-72.445194444 18.451388888)
1973 Veracruz earthquake;Point(-97.03 18.51)
Землетрясение в Крайстчёрче;Point(172.701 -43.5834)
Землетрясение в Кентербери;Point(171.83 -43.522)
Землетрясение в Чили;Point(-72.733 -35.909)
Землетрясение в Индонезии;Point(93.072 2.348)
2012 Sanriku earthquake;Point(144.09 37.889)
Землетрясение в Виргинии;Point(-77.933 37.936)
1964 Baihe earthquake;Point(120.5 23.1)
1990 Manjil-Rudbar earthquake;Point(49.409 36.957)
Великое Чилийское землетрясение;Point(-73.407 -38.143)
2009 Samoa earthquake;Point(-172.034 -15.509)
2003 Boumerdès earthquake;Point(3.634 36.964)
1888 Río de la Plata earthquake;Point(-57.89972222 -34.6)
Землетрясение в Марлборо;Point(173.7 -41.8)
1971 San Fernando earthquake;Point(-118.4 34.41)
1909 Lambesc earthquake;Point(5.4 43.7)
Землетрясение в Кашмире;Point(73.6289 34.4931)
Землетрясение в Пакистане;Point(67.484 30.569)
Землетрясение в Амбато;Point(-78.2 -1.5)
May 2006 Java earthquake;Point(110.458 -7.962)
Измитское землетрясение;Point(29.987 40.702)
1857 Basilicata earthquake;Point(16.5 40.5)
1857 Fort Tejon earthquake;Point(-120.3 35.7)
1348 Friuli earthquake;Point(13.58 46.37)
Землетрясение на Филиппинах;Point(123.246 9.964)
Лиссабонское землетрясение;Point(-11.0 36.0)
землетрясения в Эмилия-Романья;Point(11.192 44.8)
1117 Verona earthquake;Point(11.0 45.5)
Спитакское землетрясение;Point(44.183333333 40.983333333)
Odaesan Earthquake;Point(128.543 37.7981)
Великое Аляскинское землетрясение;Point(-147.65 61.02)
