seiyu,seiyuLabel,bDate
http://www.wikidata.org/entity/Q957795,يوشيتسوغو ماتسوؤكا,1986-09-17T00:00:00Z
http://www.wikidata.org/entity/Q1041924,Shinnosuke Tachibana,1976-04-26T00:00:00Z
http://www.wikidata.org/entity/Q1041924,Shinnosuke Tachibana,1978-04-26T00:00:00Z
http://www.wikidata.org/entity/Q1140193,Crispin Freeman,1972-02-09T00:00:00Z
http://www.wikidata.org/entity/Q2305052,كوميكو نيشيهارا,1965-04-27T00:00:00Z
http://www.wikidata.org/entity/Q2374145,Yuki Masuda,1973-02-09T00:00:00Z
http://www.wikidata.org/entity/Q2710143,Yūko Kaida,1980-01-14T00:00:00Z
http://www.wikidata.org/entity/Q1138318,Yūsuke Santamaria,1971-03-12T00:00:00Z
http://www.wikidata.org/entity/Q1142856,Fumihiko Tachiki,1961-04-29T00:00:00Z
http://www.wikidata.org/entity/Q1143674,Yukie Nakama,1979-10-30T00:00:00Z
http://www.wikidata.org/entity/Q1145291,Daisuke Namikawa,1976-04-02T00:00:00Z
http://www.wikidata.org/entity/Q1155626,دايسكي ساكاغوتشي,1973-10-11T00:00:00Z
http://www.wikidata.org/entity/Q1185197,Masashi Ebara,1953-05-04T00:00:00Z
http://www.wikidata.org/entity/Q2714894,Chafurin,1961-12-04T00:00:00Z
http://www.wikidata.org/entity/Q3071984,Kenichi Ono,1958-01-11T00:00:00Z
http://www.wikidata.org/entity/Q3098530,Takashi Matsuyama,1960-04-02T00:00:00Z
http://www.wikidata.org/entity/Q1206674,تومواكي ماينو,1982-05-26T00:00:00Z
http://www.wikidata.org/entity/Q1347031,Aoi Yūki,1992-03-27T00:00:00Z
http://www.wikidata.org/entity/Q1359620,Satomi Satō,1986-05-08T00:00:00Z
http://www.wikidata.org/entity/Q3140773,Rikako Aikawa,1967-10-07T00:00:00Z
http://www.wikidata.org/entity/Q4023337,Yuto Nakano,1967-06-04T00:00:00Z
http://www.wikidata.org/entity/Q783233,Toku Nishio,1939-09-12T00:00:00Z
http://www.wikidata.org/entity/Q847661,Sakiko Tamagawa,1962-01-20T00:00:00Z
http://www.wikidata.org/entity/Q864761,Maki Horikita,1988-10-06T00:00:00Z
http://www.wikidata.org/entity/Q1190511,Steven Brand,1969-06-26T00:00:00Z
http://www.wikidata.org/entity/Q1199055,Ryōtarō Okiayu,1969-11-17T00:00:00Z
http://www.wikidata.org/entity/Q4696487,Ai Kobayashi,1973-05-25T00:00:00Z
