volcano,volcanoLabel,location
http://www.wikidata.org/entity/Q2003801,Bratan,Point(115.133333333 -8.283333333)
http://www.wikidata.org/entity/Q2118760,Purchas Hill,Point(174.847 -36.8871)
http://www.wikidata.org/entity/Q1945447,Mont Ross,Point(69.5 -49.6)
http://www.wikidata.org/entity/Q2661998,Tecuamburro,Point(-90.406944444 14.156111111)
http://www.wikidata.org/entity/Q1866824,Ljósufjöll,Point(-22.585906135 64.914378102)
http://www.wikidata.org/entity/Q2553917,Michinmahuida,Point(-72.445833333 -42.799166666)
http://www.wikidata.org/entity/Q2080283,Goryashchaya Sopka,Point(151.751388888 46.831666666)
http://www.wikidata.org/entity/Q2065108,Mount Tehama,Point(-121.559427777 40.445436111)
http://www.wikidata.org/entity/Q2105492,Mount Sukaria,Point(121.77 -8.792)
http://www.wikidata.org/entity/Q2655929,Los Atlixcos,Point(-96.526388888 19.808888888)
http://www.wikidata.org/entity/Q1781665,Mont Marion-Dufresne,Point(52.256944444 -46.416388888)
http://www.wikidata.org/entity/Q2643122,Karaha Crater,Point(108.08 -7.12)
http://www.wikidata.org/entity/Q1787964,Krenitsyn Volcano,Point(154.705277777 49.353055555)
http://www.wikidata.org/entity/Q2467823,San José,Point(-69.897222222 -33.781666666)
http://www.wikidata.org/entity/Q2633479,Grábrók,Point(-21.56226 64.7817)
http://www.wikidata.org/entity/Q2360498,El Totumo,Point(-75.24140278 10.74447222)
http://www.wikidata.org/entity/Q2656048,Pico Birigoyo,Point(-17.841111111 28.605)
http://www.wikidata.org/entity/Q2512172,Veitskopf,Point(7.26417 50.43)
http://www.wikidata.org/entity/Q1964765,Mount Nantai,Point(139.493888888 36.761944444)
http://www.wikidata.org/entity/Q2375482,Brava,Point(-24.716666666 14.85)
http://www.wikidata.org/entity/Q1790653,Cerro Bayo Complex,Point(-68.583333333 -25.416666666)
http://www.wikidata.org/entity/Q2573663,Sangeang Api,Point(119.05 -8.18)
http://www.wikidata.org/entity/Q1790072,Mount Okmok,Point(-168.166111111 53.396944444)
http://www.wikidata.org/entity/Q2133643,Ravensberg,Point(10.5269 51.6214)
http://www.wikidata.org/entity/Q2282091,Chikurachki,Point(155.461666666 50.321666666)
http://www.wikidata.org/entity/Q1798916,Vetzberg,Point(8.61697 50.6204)
http://www.wikidata.org/entity/Q2328794,Poco Leok,Point(120.48 -8.68)
http://www.wikidata.org/entity/Q2264951,Bolshoi Payalpan,Point(157.75 55.833333333)
http://www.wikidata.org/entity/Q1945827,Q1945827,Point(-110.95 18.78)
